ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei Final - Number of Objects	Nuclei Final - Nucleus Area [µm²] - Mean per Well	Nuclei Final - Nucleus Roundness - Mean per Well	Nuclei Final - Number of Spots 561 Good- per Cell 561  - Mean per Well	Nuclei Final - Spot Area [px²]- Sum per Cell 561  - Mean per Well	Nuclei Final - Intensity Spots 561 Good BP600/37 Mean - Mean per Well	Nuclei Final - Intensity Spots 561 Good BP600/37 Sum - Mean per Well	Nuclei Final - Number of Micronuclei - Mean per Well	Number of Analyzed Fields	Link
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B2	2	2	1	1	1819	180.039828637	0.909343476173	6.27487630566	180.913139087	768.361951644	144762.37768	0.134689389775	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.2
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B3	2	3	1	1	1357	175.637381918	0.907821604879	6.79661016949	195.946941783	905.219316113	177692.939573	0.207811348563	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.3
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B4	2	4	1	1	792	182.472078539	0.908980436217	6.94823232323	200.51010101	1826.09144183	378206.439394	0.347222222222	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.4
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B5	2	5	1	1	1821	178.677356624	0.908127273745	5.49917627677	158.641405821	763.530271408	126118.533224	0.164744645799	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.5
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B6	2	6	1	1	1595	179.332926099	0.904208086995	6.32225705329	182.19184953	831.914282459	157082.838871	0.231347962382	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.6
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B7	2	7	1	1	798	181.848391568	0.896735988315	6.23182957393	179.545112782	927.727648402	176581.793233	0.422305764411	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.7
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B8	2	8	1	1	798	187.993351576	0.907285981201	6.29323308271	181.323308271	832.377609684	163315.719298	0.271929824561	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.8
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B9	2	9	1	1	1583	175.595527578	0.911334209231	5.92419456728	170.760581175	823.082922577	148251.726469	0.246999368288	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.9
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B10	2	10	1	1	532	246.348942	0.908478917688	6.42857142857	185.257518797	1008.68984294	189231.640977	0.343984962406	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.10
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B11	2	11	1	1	1142	189.852228628	0.902092596926	5.90192644483	170.126094571	997.392005955	164997.028897	0.397548161121	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.11
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B12	2	12	1	1	1756	168.982987972	0.902888690164	6.40603644647	184.666287016	785.358475652	149206.839977	0.162300683371	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.12
230922-sgEpi-nFISH	10301	HT001500	11001	2023-09-22T21:27:09Z	11051	B13	2	13	1	1	1185	188.886509687	0.904136549618	6.04641350211	174.315611814	791.701676139	140431.332489	0.273417721519	16	http://columbus-sg.nci.nih.gov/browse/measurement/11051/well=2.13
