ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Timepoint	Plane	Nuclei Final - Number of Objects	Nuclei Final - Nucleus Area [µm²] - Mean per Well	Nuclei Final - Nucleus Roundness - Mean per Well	Nuclei Final - Number of Spots 561 Good- per Cell 561  - Mean per Well	Nuclei Final - Spot Area [px²]- Sum per Cell 561  - Mean per Well	Nuclei Final - Intensity Spots 561 Good BP600/37 Mean - Mean per Well	Nuclei Final - Intensity Spots 561 Good BP600/37 Sum - Mean per Well	Nuclei Final - Number of Micronuclei - Mean per Well	Number of Analyzed Fields	Link
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B2	2	2	1	1	1501	175.041717114	0.90387493655	6.33577614923	182.786808794	878.515769845	160720.497002	0.218520986009	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.2
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B3	2	3	1	1	903	184.57774479	0.905639932991	6.14396456257	177.147286822	867.853580335	158951.299003	0.263565891473	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.3
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B4	2	4	1	1	984	180.730815023	0.916724779446	5.9674796748	172.024390244	857.19584756	156020.39126	0.208333333333	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.4
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B5	2	5	1	1	948	185.139871667	0.910133415217	6.5	187.432489451	908.986738488	169573.531646	0.221518987342	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.5
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B6	2	6	1	1	763	175.126301889	0.908223920168	5.67365661861	163.432503277	771.08124817	133916.087811	0.159895150721	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.6
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B7	2	7	1	1	750	170.985515382	0.9066756275	5.61866666667	161.882666667	855.822325839	148466.278667	0.232	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.7
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B8	2	8	1	1	740	181.194586306	0.907614890625	6.4	184.291891892	944.678761864	188421.266216	0.245945945946	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.8
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B9	2	9	1	1	938	178.987313631	0.906478386629	5.26012793177	151.534115139	854.857396641	138189.533049	0.220682302772	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.9
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B10	2	10	1	1	836	175.879777165	0.888299253183	5.44258373206	156.868421053	899.73947551	147098.043062	0.263157894737	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.10
230922-sgEpi-nFISH	10301	HT001496	11008	2023-09-25T21:18:08Z	11058	B11	2	11	1	1	879	190.267157427	0.901181844195	6.81114903299	196.259385666	832.591439872	165500.263936	0.219567690557	16	http://columbus-sg.nci.nih.gov/browse/measurement/11058/well=2.11
